"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"438","DEM",92510,216337.44,"DEM",12.2845946898888,92510
"439","DEM",190766,793180.46,"DEM",13.583806040932,190766
"440","REP",123771,123800.91,"REP",11.726429989771,123771
"441","REP",238388,1465582.25,"REP",14.1977631617479,238388
"442","REP",228692,1640591.29,"REP",14.3105672775034,228692
"443","DEM",92756,20964.32,"DEM",9.9505772240681,92756
"444","UNK",229792,1312776.97,"Other",14.0876552759472,229792
"445","REP",285358,6064302.48,"REP",15.6179300863268,285358
"446","DEM",205919,2704818.6,"DEM",14.8105454070159,205919
"447","REP",189771,375031.73,"REP",12.8347659147064,189771
"448","REP",141066,1579008.03,"REP",14.272307378722,141066
"449","DEM",137602,2526950.05,"DEM",14.7425236196534,137602
"450","REP",226720,773856.83,"REP",13.5591421613018,226720
"451","DEM",116537,831769.5,"DEM",13.6313106381505,116537
"452","REP",54174,30999.3,"REP",10.3417199025672,54174
"453","NON",13897,24780.89,"Other",10.1178280705995,13897
"454","REP",182676,920531.45,"REP",13.7327064452856,182676
"455","DEM",115722,212492.63,"DEM",12.2666625843922,115722
"456","DEM",146869,1715492.88,"DEM",14.3552109908786,146869
"457","REP",142926,2074061.09,"REP",14.5450191224969,142926
